date,open,high,low,close
2002-09-20,350.03,351.52,347.83,351.52
2002-09-23,351.09,351.09,347.76,347.97
2002-09-24,347.66,347.66,339.93,340.33
2002-09-25,338.91,338.91,332.3,336.0
2002-09-26,338.96,339.58,335.3,335.82
2002-09-27,338.23,340.35,338.06,338.72
2002-09-30,335.55,335.55,330.98,331.79
2002-10-01,330.92,333.75,330.37,333.69
2002-10-02,337.04,337.47,334.99,335.43
2002-10-03,334.87,337.29,334.41,336.55
2002-10-04,336.98,341.91,336.98,340.92
2002-10-07,339.35,339.35,335.67,335.88
2002-10-08,336.3,338.44,336.3,337.84
2002-10-09,338.03,340.29,338.0,338.37
2002-10-10,337.35,337.35,333.51,333.75
2002-10-11,335.92,336.18,330.41,330.41
2002-10-14,330.72,330.72,323.86,323.86
2002-10-15,324.41,328.92,323.18,328.29
2002-10-16,330.23,333.74,329.64,332.8
2002-10-17,332.7,335.21,330.12,333.18
2002-10-18,333.63,344.22,333.63,342.46
2002-10-21,342.72,344.99,341.54,344.28
2002-10-22,346.62,347.17,344.02,346.21
2002-10-24,346.27,349.31,344.86,346.59
2002-10-25,346.67,348.76,345.55,348.46
2002-10-28,349.5,357.42,349.5,357.42
2002-10-29,356.99,358.21,353.51,353.95
2002-10-30,354.69,355.38,351.92,355.0
2002-10-31,356.32,357.6,354.28,357.22
2002-11-01,357.13,360.29,357.11,357.68
2002-11-04,358.65,360.51,356.64,358.8
2002-11-05,358.94,359.87,353.99,355.77
2002-11-06,356.27,356.74,353.71,353.8
2002-11-07,353.83,359.22,352.16,357.46
2002-11-08,355.6,357.47,354.61,355.0
2002-11-11,354.59,354.73,350.36,350.36
2002-11-12,348.24,348.24,342.59,345.07
2002-11-13,345.63,345.68,342.44,343.67
2002-11-14,347.15,349.51,347.12,348.95
2002-11-15,348.99,356.24,348.99,356.24
2002-11-18,357.58,358.25,354.83,357.1
2002-11-19,356.96,358.98,353.62,353.62
2002-11-20,354.4,356.47,351.63,352.18
2002-11-21,352.18,358.44,352.18,358.44
2002-11-22,359.5,363.69,359.5,362.59
2002-11-25,362.87,366.48,362.87,364.53
