date,ytm
2011-03-28,3.91376
2011-03-29,3.921846
2011-03-30,3.925922
2011-03-31,3.92907
2011-04-01,3.975716
2011-04-02,3.97607
2011-04-03,3.976434
2011-04-04,3.97667
2011-04-05,3.968098
2011-04-06,3.968444
2011-04-07,3.96109
2011-04-08,3.957283
2011-04-09,3.95763
2011-04-10,3.957987
2011-04-11,3.962924
2011-04-12,3.967771
2011-04-13,3.968113
2011-04-14,3.968463
2011-04-15,3.968815
2011-04-16,3.969165
2011-04-17,3.9695229999999997
2011-04-18,3.959812
2011-04-19,3.956811
2011-04-20,3.955339
2011-04-21,3.946388
2011-04-22,3.947282
2011-04-23,3.947619
2011-04-24,3.947965
2011-04-25,3.950437
2011-04-26,3.953202
2011-04-27,3.96466
2011-04-28,3.973127
2011-04-29,3.981705
2011-04-30,3.982005
2011-05-01,3.982315
2011-05-02,3.982637
2011-05-03,4.006327
2011-05-04,4.0348559999999996
2011-05-05,4.035172
2011-05-06,4.038897
2011-05-07,4.039215
2011-05-08,4.039545
2011-05-09,4.047168
2011-05-10,4.068135
2011-05-11,4.067399
2011-05-12,4.072402
2011-05-13,4.069215
2011-05-14,4.069517
2011-05-15,4.06983
2011-05-16,4.070144
2011-05-17,4.070455
2011-05-18,4.072572
2011-05-19,4.069609
2011-05-20,4.073915
2011-05-21,4.074208
2011-05-22,4.074512
2011-05-23,4.071045
2011-05-24,4.076603
2011-05-25,4.088887
2011-05-26,4.098972
2011-05-27,4.094761
2011-05-28,4.095052
2011-05-29,4.095363
2011-05-30,4.095089
2011-05-31,4.09305
2011-06-01,4.08256
2011-06-02,4.083072
2011-06-03,4.065379
2011-06-04,4.065663
2011-06-05,4.065948
2011-06-06,4.062499
2011-06-07,4.070529
2011-06-08,4.071736
2011-06-09,4.077417
2011-06-10,4.078083
2011-06-11,4.078334
2011-06-12,4.078591
2011-06-13,4.077693
2011-06-14,4.121093
2011-06-15,4.13898
2011-06-16,4.158932
2011-06-17,4.155252
2011-06-18,4.155508
2011-06-19,4.155768
2011-06-20,4.156685
2011-06-21,4.19227
2011-06-22,4.229046
2011-06-23,4.304361
2011-06-24,4.306134
2011-06-25,4.306404
2011-06-26,4.30668
2011-06-27,4.330494
2011-06-28,4.335928
2011-06-29,4.340469
2011-06-30,4.348529
2011-07-01,4.348786
2011-07-02,4.34904
2011-07-03,4.349292
2011-07-04,4.322703
2011-07-05,4.335528
2011-07-06,4.349083
2011-07-07,4.384679
2011-07-08,4.397073
2011-07-09,4.39734
2011-07-10,4.397613
2011-07-11,4.400047
2011-07-12,4.440958
2011-07-13,4.465009
2011-07-14,4.471252
2011-07-15,4.471514
2011-07-16,4.471783
2011-07-17,4.472058
2011-07-18,4.500662
2011-07-19,4.493728
2011-07-20,4.500775
2011-07-21,4.488207
2011-07-22,4.487155
2011-07-23,4.487385
2011-07-24,4.487624
2011-07-25,4.487375
2011-07-26,4.482647
2011-07-27,4.493793
2011-07-28,4.491102
2011-07-29,4.490335
2011-07-30,4.490564
2011-07-31,4.490797
2011-08-01,4.461477
2011-08-02,4.457418
2011-08-03,4.40434
2011-08-04,4.377783
2011-08-05,4.308073
2011-08-06,4.308274
2011-08-07,4.308479
2011-08-08,4.310923
2011-08-09,4.200893
2011-08-10,4.107724
2011-08-11,4.10306
2011-08-12,4.103226
2011-08-13,4.1034
2011-08-14,4.103573
2011-08-15,4.1504010000000005
2011-08-16,4.165355
2011-08-17,4.178952
2011-08-18,4.161122
2011-08-19,4.1108
2011-08-20,4.110955
2011-08-21,4.111116
2011-08-22,4.04975
2011-08-23,4.048394
2011-08-24,4.063073
2011-08-25,4.126027
2011-08-26,4.146412
